Name,BuildingNumber,Street,Unit,Fraction,GeoArea,City,Zip,PlaceStatus,PlaceType,PlaceSubType,PrivateResidence,MappedYear,Note,PhoneNumber,Email,Geolocation,Lng,Lat,Website
10 Fortune Nails Spa,4704,N Kimball Ave,,,Albany Park,Chicago,27832,Active,Personal Service,Beauty,No,2019,Beauty Shops,773-293-6065,,POINT(-87.7133731857674 41.9667367834809),-87.71337319,41.96673678,
123remodeling,5070,N Kimberly Ave,,,Archer Heights,Chicago,10167,Active,Trade Service,Building trades,No,2019,Sngl-Fam Hsng Cnstr,773-685-6095,,POINT(-87.7437648312545 41.9729256973838),-87.74376483,41.9729257,
1st American Insurance,4445,N Pulaski Rd,,,Armour Square,Chicago,282,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Insurance agency,No,2019,Insurance Agnts Sv,773-467-2200,,POINT(-87.7278084835625 41.9621980551093),-87.72780848,41.96219806,
24-7 Garage Door Services,4010,W Lawrence Ave,,,Ashburn,Chicago,,Out of Business,Trade Service,Building trades,No,2019,Carpentry Work,773-756-3358,,POINT(-87.7284117606663 41.9683008587725),-87.72841176,41.96830086,
240 Lounge & Cafe,3948,W Lawrence Ave,,,Auburn Gresham,Chicago,,Active,Arts and Entertainment,Club-lounge-bar,No,2019,Drinking Places,773-267-0474,,POINT(-87.7275671412799 41.96830985887),-87.72756714,41.96830986,
2nd Story,3001,W Lawrence Ave,,,Austin,Chicago,,Active,Arts and Entertainment,Live theater,No,2019,Thtrcl Prdcrs Services,219-973-1762,,POINT(-87.7038205809861 41.9684675470512),-87.70382058,41.96846755,
39th Ward Public Service Office,4404,W Lawrence Ave,,,Avalon Park,Chicago,,Active,Social Services & Political Advocacy,Administrative,No,2019,,773-736-5594,,POINT(-87.7381695002342 41.9681435114819),-87.7381695,41.96814351,
4 Montrose Express,4000,W Montrose Ave,,,Avondale,Chicago,,Active,"Financial, Insurance, Real Estate, Legal, and Professional",Currency exchange,No,2019,Fnctns Rltd Dep Bkg,773-725-7000,,POINT(-87.7281621709511 41.9609715073267),-87.72816217,41.96097151,
4835 Studios,4835,N Elston Ave,,,Bedford Park,Chicago,,Out of Business,Arts and Entertainment,Other,No,2019,Misc Prsnl Services Ne,773-853-0424,,POINT(-87.7411390143565 41.9687341277011),-87.74113901,41.96873413,
6 Stars Auto Body & Muffler Shop,3011,W Lawrence Ave,,,Belmont Cragin,Chicago,,Active,Trade Service,Vehicle services,No,2019,New Used Car Dlrs,773-866-1901,,POINT(-87.7040275770821 41.968410395383),-87.70402758,41.9684104,
